bed_id,bed_id_provenance,dataset_id,device_id,device_id_provenance,installation_id,installation_id_provenance,mattress_id,mattress_id_provenance,night_id,night_id_provenance,participant_id,participant_id_provenance,recording_date,recording_date_provenance,recording_location,recording_location_provenance,sensor_id,sensor_id_provenance,sensor_position,sensor_position_provenance,session_id,session_id_provenance,source_path
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231104,source recording filename/date token; identifies a recording night only,04,source participant directory,20231104,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231104_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231105,source recording filename/date token; identifies a recording night only,04,source participant directory,20231105,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231105_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231106,source recording filename/date token; identifies a recording night only,04,source participant directory,20231106,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231106_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231107,source recording filename/date token; identifies a recording night only,04,source participant directory,20231107,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231107_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231108,source recording filename/date token; identifies a recording night only,04,source participant directory,20231108,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231108_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231109,source recording filename/date token; identifies a recording night only,04,source participant directory,20231109,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/04/BCG/04_20231109_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231103,source recording filename/date token; identifies a recording night only,05,source participant directory,20231103,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231103_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231104,source recording filename/date token; identifies a recording night only,05,source participant directory,20231104,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231104_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231105,source recording filename/date token; identifies a recording night only,05,source participant directory,20231105,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231105_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231106,source recording filename/date token; identifies a recording night only,05,source participant directory,20231106,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231106_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231107,source recording filename/date token; identifies a recording night only,05,source participant directory,20231107,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231107_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231108,source recording filename/date token; identifies a recording night only,05,source participant directory,20231108,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231108_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231109,source recording filename/date token; identifies a recording night only,05,source participant directory,20231109,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/05/BCG/05_20231109_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231110,source recording filename/date token; identifies a recording night only,06,source participant directory,20231110,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231110_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231111,source recording filename/date token; identifies a recording night only,06,source participant directory,20231111,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231111_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231112,source recording filename/date token; identifies a recording night only,06,source participant directory,20231112,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231112_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231113,source recording filename/date token; identifies a recording night only,06,source participant directory,20231113,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231113_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231115,source recording filename/date token; identifies a recording night only,06,source participant directory,20231115,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231115_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231116,source recording filename/date token; identifies a recording night only,06,source participant directory,20231116,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/06/BCG/06_20231116_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231111,source recording filename/date token; identifies a recording night only,07,source participant directory,20231111,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231111_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231112,source recording filename/date token; identifies a recording night only,07,source participant directory,20231112,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231112_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231113,source recording filename/date token; identifies a recording night only,07,source participant directory,20231113,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231113_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231114,source recording filename/date token; identifies a recording night only,07,source participant directory,20231114,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231114_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231115,source recording filename/date token; identifies a recording night only,07,source participant directory,20231115,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231115_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231116,source recording filename/date token; identifies a recording night only,07,source participant directory,20231116,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/07/BCG/07_20231116_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231110,source recording filename/date token; identifies a recording night only,08,source participant directory,20231110,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231110_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231111,source recording filename/date token; identifies a recording night only,08,source participant directory,20231111,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231111_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231112,source recording filename/date token; identifies a recording night only,08,source participant directory,20231112,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231112_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231113,source recording filename/date token; identifies a recording night only,08,source participant directory,20231113,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231113_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231114,source recording filename/date token; identifies a recording night only,08,source participant directory,20231114,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231114_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231115,source recording filename/date token; identifies a recording night only,08,source participant directory,20231115,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231115_BCG.csv
,unknown; not reported per record,figshare:26013157/file:46976602,,unknown; device identity not reported per record,,unknown; source does not report removal/reinstallation boundaries and night is not treated as installation,,unknown; not reported per record,20231116,source recording filename/date token; identifies a recording night only,08,source participant directory,20231116,source filename/date token,participant dormitory sleeping environment,dataset paper protocol; dormitory natural-sleep environment,,unknown; sensor serial/device identity not reported per record,beneath mattress near chest,"dataset paper protocol; dataset-level placement, not a per-night reinstallation record",,unknown; recording night is not promoted to a session identifier,dataset/data/08/BCG/08_20231116_BCG.csv
